Account Number,Term,Month,Year,Usage,Profile On-Peak,Profile Off-Peak,Cumulative Volume,Price Term to Date,Load Factor,Address Street,Address City,Address State,Address Zip,Address Country,POR,Tax,Service Class,Zone
1234567890,1,Jan,2020,35000,19411.47229,15588.52771,35000,0.05930748,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,2,Feb,2020,46000,26279.03395,19720.96605,81000,0.058008605,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,3,Mar,2020,93000,47822.56951,45177.43049,174000,0.050067756,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,4,Apr,2020,82000,45756.13439,36243.86561,256000,0.046108372,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,5,May,2020,74000,42061.49093,31938.50907,330000,0.043421984,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,6,Jun,2020,77000,40464.2062,36535.7938,407000,0.042231848,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,7,Jul,2020,110000,62909.64362,47090.35638,517000,0.042818963,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,8,Aug,2020,54000,29671.57865,24328.42135,571000,0.043654374,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,9,Sep,2020,65000,35343.54088,29656.45912,636000,0.043523944,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,10,Oct,2020,98000,55071.14609,42928.85391,734000,0.042858373,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,11,Nov,2020,33000,17515.79789,15484.20211,767000,0.042712636,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,12,Dec,2020,33000,17526.51659,15473.48341,800000,0.04277919,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,13,Jan,2021,35000,19411.47229,15588.52771,835000,0.043428808,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,14,Feb,2021,46000,26279.03395,19720.96605,881000,0.044166522,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,15,Mar,2021,93000,47822.56951,45177.43049,974000,0.044122706,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,16,Apr,2021,82000,45756.13439,36243.86561,1056000,0.043731395,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,17,May,2021,74000,42061.49093,31938.50907,1130000,0.043302798,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,18,Jun,2021,77000,40464.2062,36535.7938,1207000,0.043092307,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,19,Jul,2021,110000,62909.64362,47090.35638,1317000,0.043470816,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,20,Aug,2021,54000,29671.57865,24328.42135,1371000,0.043957861,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,21,Sep,2021,65000,35343.54088,29656.45912,1436000,0.044047256,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,22,Oct,2021,98000,55071.14609,42928.85391,1534000,0.043856863,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,23,Nov,2021,33000,17515.79789,15484.20211,1567000,0.043826489,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,24,Dec,2021,33000,17526.51659,15473.48341,1600000,0.043921672,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
